YYYY MM DD hh mm WS_80mA_mean WS_80mA_min WS_80mA_max WS_80mA_stdev WS_80mB_mean WS_80mB_min WS_80mB_max WS_80mB_stdev WS_60m_mean WS_60m_min WS_60m_max WS_60m_stdev WS_40m_mean WS_40m_min WS_40m_max WS_40m_stdev WS_20m_mean WS_20m_min WS_20m_max WS_20m_stdev WD_78m_mean WD_78m_min WD_78m_max WD_78m_stdev WD_58m_mean WD_58m_min WD_58m_max WD_58m_stdev temp_80m_mean temp_80m_min temp_80m_max temp_80m_stdev temp_40m_mean temp_40m_min temp_40m_max temp_40m_stdev temp_15m_mean temp_15m_min temp_15m_max temp_15m_stdev RH_15m_mean RH_15m_min RH_15m_max RH_15m_stdev P_15m_mean P_15m_min P_15m_max P_15m_stdev Rad_80m_mean Rad_80m_min Rad_80m_max Rad_80m_stdev DENSIDAD_15m_mean DENSIDAD_15m_min DENSIDAD_15m_max DENSIDAD_15m_stdev BATERIA_mean BATERIA_min BATERIA_max BATERIA_stdev 
    Height 80 80 80 80 80 80 80 80 60 60 60 60 40 40 40 40 20 20 20 20 78 78 78 78 58 58 58 58 80 80 80 80 40 40 40 40 15 15 15 15 15 15 15 15 15 15 15 15 80 80 80 80 15 15 15 15 0 0 0 0 
    Units m/s m/s m/s m/s m/s m/s m/s m/s m/s m/s m/s m/s m/s m/s m/s m/s m/s m/s m/s m/s ° ° ° ° ° ° ° ° °C °C °C °C °C °C °C °C °C °C °C °C % % % % hPa hPa hPa hPa W/m2 W/m2 W/m2 W/m2 Kg/m^3 Kg/m^3 Kg/m^3 Kg/m^3 V V V V 
2019 06 22 13 50 4.0885E+00 2.0471E-01 5.1696E+00 6.6157E-01 3.9514E+00 2.1279E-01 4.8690E+00 7.0278E-01 4.0567E+00 1.9855E-01 4.8559E+00 6.0670E-01 3.9698E+00 1.9478E-01 4.8614E+00 7.0933E-01 3.7775E+00 2.0186E-01 5.4848E+00 7.7006E-01 3.5840E+02 NaN NaN 6.4000E-02 3.5840E+02 NaN NaN 1.0600E-01 -7.6900E-01 -5.9680E+00 5.0970E+00 2.7060E+00 -2.4550E+01 -3.0140E+01 -1.7100E+01 3.8200E+00 -3.6060E+01 -4.3310E+01 -2.9660E+01 3.3480E+00 -1.0670E+01 -1.8400E+01 -3.7340E+00 2.6640E+00 6.8000E+02 NaN NaN 2.3780E+00 9.3200E+02 9.3100E+02 9.3500E+02 9.8000E-01 9.9500E-01 9.6500E-01 1.0220E+00 1.5000E-02 1.2810E+01 1.2800E+01 1.2810E+01 NaN 
2019 06 22 14 00 3.8775E+00 2.3768E+00 6.1005E+00 8.5086E-01 3.9452E+00 2.6961E+00 5.8003E+00 8.0087E-01 3.8294E+00 1.4405E+00 6.4083E+00 1.0488E+00 3.8068E+00 1.7503E+00 6.4170E+00 1.1891E+00 3.5891E+00 1.7557E+00 6.4171E+00 1.0044E+00 3.5850E+02 NaN NaN 1.1900E-01 3.5850E+02 NaN NaN 1.1300E-01 4.6070E+00 -3.5930E+00 1.1270E+01 2.8500E+00 -1.6760E+01 -2.7150E+01 -8.8900E+00 3.9860E+00 -2.8620E+01 -3.7540E+01 -2.1180E+01 3.8330E+00 -4.7240E+00 -1.4390E+01 4.2770E+00 3.0070E+00 6.8510E+02 NaN NaN 2.6320E+00 8.9900E+02 6.3350E+02 9.8100E+02 8.7200E+01 9.7400E-01 9.4700E-01 1.0080E+00 1.6000E-02 1.2800E+01 1.2790E+01 1.2800E+01 NaN 
2019 06 22 14 10 4.3305E+00 2.0665E+00 7.0314E+00 8.2417E-01 4.2432E+00 2.6961E+00 6.7315E+00 7.9280E-01 4.2772E+00 2.0615E+00 6.7188E+00 9.3830E-01 4.1260E+00 2.0614E+00 6.4170E+00 1.0497E+00 3.7302E+00 1.7557E+00 6.4171E+00 1.1921E+00 3.5860E+02 NaN NaN 1.1700E-01 3.5860E+02 NaN NaN 8.0000E-02 7.4520E+00 -2.0020E+01 1.5620E+01 3.1420E+00 -1.2960E+01 -2.9120E+01 -2.7770E+00 4.1250E+00 -2.3170E+01 -3.9370E+01 -1.4180E+01 3.8410E+00 1.7470E+00 -8.6200E+00 9.3000E+00 3.0570E+00 6.9040E+02 NaN NaN 2.5010E+00 7.1620E+02 4.7060E+02 9.4200E+02 1.5910E+02 9.6200E-01 9.3000E-01 1.0210E+00 1.6000E-02 1.2790E+01 1.2780E+01 1.2790E+01 NaN 
2019 06 22 14 20 3.9699E+00 2.0665E+00 5.4799E+00 7.0439E-01 3.9794E+00 1.7649E+00 5.4898E+00 7.4748E-01 3.7679E+00 2.0615E+00 6.4083E+00 8.4205E-01 3.7987E+00 2.0614E+00 5.7948E+00 8.4000E-01 3.3405E+00 1.7557E+00 5.4848E+00 7.0791E-01 3.5870E+02 NaN NaN 1.3600E-01 3.5870E+02 NaN NaN 1.4000E-01 1.1500E+01 -1.0790E+01 1.7860E+01 3.2530E+00 -8.0800E+00 -2.7280E+01 -8.7800E-01 4.1150E+00 -1.9170E+01 -3.2240E+01 -1.0250E+01 3.6620E+00 5.0880E+00 -6.2460E+00 1.3640E+01 3.1420E+00 6.9450E+02 NaN NaN 2.8490E+00 8.5600E+02 5.8260E+02 9.4500E+02 1.1650E+02 9.5300E-01 9.2300E-01 1.0030E+00 1.5000E-02 1.2780E+01 1.2770E+01 1.2780E+01 NaN 
2019 06 22 14 30 4.3237E+00 2.6872E+00 6.1005E+00 6.9322E-01 4.3581E+00 3.0065E+00 6.1107E+00 6.2890E-01 4.2616E+00 2.6825E+00 6.0979E+00 7.1289E-01 4.0824E+00 2.3726E+00 5.7948E+00 7.3546E-01 3.8396E+00 2.0664E+00 5.7955E+00 7.5204E-01 3.5880E+02 NaN NaN 8.2000E-02 3.5880E+02 NaN NaN 8.4000E-02 1.5300E+01 -3.4600E+00 2.1450E+01 3.1960E+00 -2.8100E+00 -2.0700E+01 5.5680E+00 4.0010E+00 -1.3790E+01 -2.9730E+01 -6.9220E+00 3.7160E+00 9.3500E+00 -4.0050E+00 1.6970E+01 3.0800E+00 6.9760E+02 NaN NaN 2.4320E+00 6.4220E+02 5.0580E+02 8.2300E+02 8.5400E+01 9.3800E-01 9.1200E-01 9.9500E-01 1.5000E-02 1.2770E+01 1.2770E+01 1.2770E+01 NaN 
2019 06 22 14 40 4.3771E+00 1.7562E+00 6.7211E+00 1.0141E+00 4.4046E+00 2.0753E+00 6.4211E+00 8.9834E-01 4.2430E+00 2.6825E+00 6.7188E+00 8.8055E-01 4.0575E+00 2.0614E+00 6.1059E+00 8.6800E-01 3.8297E+00 1.7557E+00 6.1063E+00 8.6578E-01 3.5890E+02 NaN NaN 6.6000E-02 3.5890E+02 NaN NaN 6.3000E-02 1.7560E+01 9.2300E+00 2.3420E+01 2.8100E+00 -3.6400E-01 -1.6760E+01 6.7210E+00 3.8410E+00 -1.1000E+01 -2.4030E+01 -1.6960E+00 3.8360E+00 1.2820E+01 6.1100E-01 2.1040E+01 3.1450E+00 7.0120E+02 NaN NaN 2.3930E+00 6.9570E+02 4.6280E+02 9.3800E+02 1.5640E+02 9.3300E-01 9.0000E-01 9.8100E-01 1.5000E-02 1.2770E+01 1.2770E+01 1.2770E+01 NaN 
2019 06 22 14 50 3.5541E+00 1.7562E+00 5.4799E+00 8.0493E-01 3.5932E+00 1.7649E+00 5.8003E+00 8.4371E-01 3.3686E+00 1.4405E+00 5.1664E+00 9.2774E-01 3.1783E+00 1.1281E+00 5.1725E+00 8.9662E-01 2.9471E+00 1.4449E+00 4.8633E+00 8.9002E-01 3.5880E+02 NaN NaN 7.1000E-02 3.5880E+02 NaN NaN 7.9000E-02 1.9140E+01 7.7390E+00 2.6810E+01 2.9320E+00 2.4870E+00 -1.5340E+01 1.2220E+01 4.2500E+00 -7.1170E+00 -2.4160E+01 2.5130E+00 4.3550E+00 1.7000E+01 -6.8000E-02 2.5250E+01 3.7590E+00 7.0450E+02 NaN NaN 3.1590E+00 6.8590E+02 5.1530E+02 8.1500E+02 7.1740E+01 9.2300E-01 8.9400E-01 9.8300E-01 1.6000E-02 1.2770E+01 1.2760E+01 1.2770E+01 NaN 
2019 06 22 15 00 3.4182E+00 1.4459E+00 5.1696E+00 7.2984E-01 3.5299E+00 1.4545E+00 5.1794E+00 7.0278E-01 3.1935E+00 1.4405E+00 4.8559E+00 7.7685E-01 3.0707E+00 1.1281E+00 4.5503E+00 7.9084E-01 2.8203E+00 8.2338E-01 4.8633E+00 8.8815E-01 3.5900E+02 NaN NaN 5.4000E-02 3.5900E+02 NaN NaN 8.4000E-02 2.0880E+01 -3.8680E+00 2.8710E+01 2.9930E+00 3.2230E+00 -2.0570E+01 1.3240E+01 4.6680E+00 -8.1600E+00 -2.6400E+01 3.3270E+00 5.0630E+00 1.5470E+01 4.2080E+00 2.6130E+01 3.9500E+00 7.0440E+02 NaN NaN 2.7930E+00 7.3240E+02 3.4250E+02 8.9300E+02 1.1750E+02 9.2700E-01 8.9000E-01 9.8500E-01 1.8000E-02 1.2760E+01 1.2760E+01 1.2770E+01 NaN 
